Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Infinite Recovery,78610,03/19/2025,95,13207  WRIGHT  RD BUDA,12396764,Routine Inspection
LW - Grill-On Tex Mex Restaurant,78734,03/19/2025,80,107 S FM 620  RD LAKEWAY,12398363,Routine Inspection
MN - Pho Yes LLC,78653,03/19/2025,81,11300 E US 290  HWY STE 250 MANOR,12397425,Routine Inspection
P F Chang's China Bistro,78701,03/19/2025,84,201  SAN JACINTO  BLVD AUSTIN,2801751,Routine Inspection
Asia Chinese Restaurant,78744,03/19/2025,78,1931 E BEN WHITE BLVD EB SVRD AUSTIN,2801619,Routine Inspection
Ezov,78702,03/19/2025,89,2708 E CESAR CHAVEZ  ST AUSTIN,12398507,Routine Inspection
Thai Kitchen,78705,03/19/2025,94,3009  GUADALUPE  ST AUSTIN,177866,Routine Inspection
La Montana Tacos,78753,03/19/2025,91,707 E BRAKER  LN Unit 201 AUSTIN,11587120,Routine Inspection
Walgreens #6861,78753,03/19/2025,95,9307 N LAMAR  BLVD AUSTIN,2803661,Routine Inspection
Amaya's Taco Village,78751,03/19/2025,81,5804 N IH 35 SB SVRD AUSTIN,10581694,Routine Inspection
Feng Cha,78757,03/19/2025,92,2525 W ANDERSON  LN Unit 285 AUSTIN,12185815,Routine Inspection
Sabe Fruteria,78753,03/19/2025,94,707 E BRAKER  LN Unit 202 AUSTIN,11800305,Routine Inspection
WL - Randall's #2477-Bakery,78746,03/19/2025,99,3300  BEE CAVES  RD WEST LAKE HILLS,10223150,Routine Inspection
Integral Care,78702,03/19/2025,95,1165  AIRPORT  BLVD AUSTIN,11846221,Routine Inspection
Eurasia Sushi Bar & Seafood,78736,03/19/2025,71,7101 W SH 71   Bunit 13 AUSTIN,12398771,Routine Inspection
PF - Costco Wholesale #1322/Deli,78660,03/19/2025,100,1901  KELLY  LN PFLUGERVILLE,12392354,Routine Inspection
WL - Randall's #2477- Deli Station,78746,03/19/2025,97,3300  BEE CAVES  RD WEST LAKE HILLS,2803246,Routine Inspection
LW - Feng Cha,78734,03/19/2025,87,2011  MAIN  ST UNIT 300 AUSTIN,12397597,Routine Inspection
