EstablishmentID,InspectionID,Ins_TypeDesc,EstablishmentName,PlaceName,Address,Address2,City,State,Zip,TypeDescription,InspectionDate,score,Grade,NameSearch,Intersection,ObjectId
31817,1873837,REGULAR,HIGHLAND MIDDLE SCHOOL,,1700 NORRIS PLACE,,LOUISVILLE,KY,40205,SCHOOL CAFETERIA OR FOOD SERVICE,2024/08/21 00:00:00,100,A,HIGHLAND MIDDLE SCHOOL,,1
31818,1835133,REGULAR,HITE ELEMENTARY SCHOOL,,12408 SHELBYVILLE RD,,LOUISVILLE,KY,40243,SCHOOL CAFETERIA OR FOOD SERVICE,2024/03/28 00:00:00,100,A,HITE ELEMENTARY SCHOOL,,2
31819,1804971,REGULAR,SACRED HEART MODEL SCHOOL,,3107 LEXINGTON RD,,LOUISVILLE,KY,40206,SCHOOL CAFETERIA OR FOOD SERVICE,2023/11/15 00:00:00,100,A,SACRED HEART MODEL SCHOOL,,3
31819,1846754,REGULAR,SACRED HEART MODEL SCHOOL,,3107 LEXINGTON RD,,LOUISVILLE,KY,40206,SCHOOL CAFETERIA OR FOOD SERVICE,2024/05/13 00:00:00,100,A,SACRED HEART MODEL SCHOOL,,4
31820,1798211,REGULAR,SACRED HEART ACADEMY,,3175 LEXINGTON RD,,LOUISVILLE,KY,40206,SCHOOL CAFETERIA OR FOOD SERVICE,2023/10/20 00:00:00,100,A,SACRED HEART ACADEMY,,5
31820,1846753,REGULAR,SACRED HEART ACADEMY,,3175 LEXINGTON RD,,LOUISVILLE,KY,40206,SCHOOL CAFETERIA OR FOOD SERVICE,2024/05/13 00:00:00,100,A,SACRED HEART ACADEMY,,6
31821,1791760,REGULAR,ST. AGNES SCHOOL,,1800 NEWBURG RD,,LOUISVILLE,KY,40205,SCHOOL CAFETERIA OR FOOD SERVICE,2023/09/27 00:00:00,100,A,ST. AGNES SCHOOL,,7
31821,1832208,REGULAR,ST. AGNES SCHOOL,,1800 NEWBURG RD,,LOUISVILLE,KY,40205,SCHOOL CAFETERIA OR FOOD SERVICE,2024/03/18 00:00:00,100,A,ST. AGNES SCHOOL,,8
31821,1877633,REGULAR,ST. AGNES SCHOOL,,1800 NEWBURG RD,,LOUISVILLE,KY,40205,SCHOOL CAFETERIA OR FOOD SERVICE,2024/09/04 00:00:00,98,A,ST. AGNES SCHOOL,,9
31822,1795359,REGULAR,ST. ALBERT THE GREAT,,1395 GIRARD DR,,LOUISVILLE,KY,40222,SCHOOL CAFETERIA OR FOOD SERVICE,2023/10/10 00:00:00,100,A,ST. ALBERT THE GREAT,,10
31822,1834326,REGULAR,ST. ALBERT THE GREAT,,1395 GIRARD DR,,LOUISVILLE,KY,40222,SCHOOL CAFETERIA OR FOOD SERVICE,2024/03/26 00:00:00,94,C,ST. ALBERT THE GREAT,,11
31822,1836782,FOLLOWUP,ST. ALBERT THE GREAT,,1395 GIRARD DR,,LOUISVILLE,KY,40222,SCHOOL CAFETERIA OR FOOD SERVICE,2024/04/05 00:00:00,100,A,ST. ALBERT THE GREAT,,12
31824,1832911,REGULAR,ST. ATHANASIUS SCHOOL,,5915 OUTER LOOP,,LOUISVILLE,KY,40219,SCHOOL CAFETERIA OR FOOD SERVICE,2024/03/20 00:00:00,100,A,ST. ATHANASIUS SCHOOL,,13
31824,1803239,REGULAR,ST. ATHANASIUS SCHOOL,,5915 OUTER LOOP,,LOUISVILLE,KY,40219,SCHOOL CAFETERIA OR FOOD SERVICE,2023/11/08 00:00:00,97,C,ST. ATHANASIUS SCHOOL,,14
31824,1805582,FOLLOWUP,ST. ATHANASIUS SCHOOL,,5915 OUTER LOOP,,LOUISVILLE,KY,40219,SCHOOL CAFETERIA OR FOOD SERVICE,2023/11/17 00:00:00,100,A,ST. ATHANASIUS SCHOOL,,15
31827,1796482,REGULAR,ST. BERNARD SCHOOL,,7501 TANGELO DR,,LOUISVILLE,KY,40228,SCHOOL CAFETERIA OR FOOD SERVICE,2023/10/11 00:00:00,100,A,ST. BERNARD SCHOOL,,16
